# name, mass, radius, period, axis, eccentricity, inclination, angular_distance, publication_status_letter, discovered, updated, omega, tperi, detection_type, molecules, star.name, ra, dec, star.magnitude_v, star.magnitude_i, star.magnitude_j, star.magnitude_h, star.magnitude_k, star.distance, star.metallicity, star.mass, star.radius, star.spec_type, star.age, star.teff
HD 4203 b,2.07,,431.88,1.164,0.519,,0.015019,R,2001,2009-10-06,329.1,1918.9,detected by radial velocity,,HD 4203,00:44:41.0,+20:26:56,8.68,,,,,77.5,0.453,1.13,1.33,G5,9.41,5701.0
HD 4208 b,0.8,,829.0,1.7,0.04,,0.050147,R,2001,2009-10-08,301.0,1774.0,detected by radial velocity,,HD 4208,00:44:26.0,-26:30:56,7.79,,,,,33.9,-0.284,0.87,0.85,G5 V,4.47,5571.0
HD 4308 b,0.0405,,15.609,0.118,0.27,,0.005388,S,2005,2009-06-30,210.0,108.5,detected by radial velocity,,HD 4308,00:44:39.0,-65:38:58,6.54,,,,,21.9,-0.34,0.85,0.92,G5 V,17.1,5597.0
HD 4313 b,2.3,,356.0,1.19,0.041,,0.008686,S,2010,2010-03-19,76.0,2454804.0,detected by radial velocity,,HD 4313,00:45:40.0,+07:50:42,7.83,,,,,137.0,0.14,1.72,4.9,G5 D,2.0,5035.0
HD 43197 b,0.6,,327.8,0.92,0.83,,0.016758,S,2009,2010-09-08,251.0,4713.8,detected by radial velocity,,HD 43197,06:13:36.0,-29:53:50,8.95,,,,,54.9,0.4,0.96,1.0,G8V,,5508.0
HD 43691 b,2.49,,36.96,0.24,0.14,,0.002575,R,2007,2007-11-27,290.0,54046.6,detected by radial velocity,,HD 43691,06:19:35.0,+41:05:32,8.03,,,,,93.2,0.28,1.38,,G0IV,2.8,6200.0
HD 44219 b,0.58,,472.3,1.19,0.61,,0.023597,S,2009,2010-09-08,147.4,4585.6,detected by radial velocity,,HD 44219,06:20:14.0,-10:43:30,7.69,,,,,50.43,0.03,1.0,1.32,G2V,,5752.0
HD 45184 b,0.04,,5.8872,0.0638,0.3,,0.002913,S,2011,2011-09-12,,,detected by radial velocity,,HD 45184,06:24:44.0,-28:46:48,6.37,,,,,21.9,,,,G1.5V,,
HD 45350 b,1.79,,890.76,1.92,0.778,,0.039184,R,2004,2010-12-22,343.4,2451825.3,detected by radial velocity,,HD 45350,06:28:45.0,+38:57:46,7.88,,,,,49.0,0.29,1.02,1.27,G5 IV,5.59,5754.0
HD 45364 b,0.1872,,226.93,0.6813,0.1684,,0.020899,S,2009,2012-01-31,162.58,53500.0,detected by radial velocity,,HD 45364,06:25:38.0,-31:28:51,8.08,,,,,32.6,-0.17,0.82,,K0V,,5434.0
HD 45364 c,0.6579,,342.85,0.8972,0.0974,,0.027521,S,2009,2012-01-31,7.41,53500.0,detected by radial velocity,,HD 45364,06:25:38.0,-31:28:51,8.08,,,,,32.6,-0.17,0.82,,K0V,,5434.0
HD 45652 b,0.47,,43.6,0.23,0.38,,0.006389,R,2008,2008-10-14,273.0,2454120.3,detected by radial velocity,,HD 45652,06:29:13.0,+10:56:02,8.1,,,,,36.0,0.29,0.83,,G8-K0,,5312.0
HD 46375 b,0.249,,3.024,0.041,0.04,,0.001228,R,2000,2010-12-20,62.0,2451582.1,detected by radial velocity,,HD 46375,06:33:12.0,+05:27:46,7.94,,,,,33.4,0.24,0.91,1.0,K1 IV,4.96,5199.0
HD 47186 b,0.07167,,4.0845,0.05,0.038,,0.001321,C,2008,2009-01-13,59.0,54566.95,detected by radial velocity,,HD 47186,06:36:09.0,-27:37:20,7.8,,6.42,6.1,6.01,37.84,0.23,0.99,,G5V,,5675.0
HD 47186 c,0.35061,,1353.6,2.395,0.249,,0.063293,C,2008,2009-01-13,26.0,52010.0,detected by radial velocity,,HD 47186,06:36:09.0,-27:37:20,7.8,,6.42,6.1,6.01,37.84,0.23,0.99,,G5V,,5675.0
HD 47536 b,5.0,,430.0,1.61,0.2,,0.013266,R,2003,2010-12-21,260.8,2451599.36,detected by radial velocity,,HD 47536,06:37:47.0,-32:20:23,5.25,,,,,121.36,-0.68,0.94,23.47,K1 III,9.33,4380.0
HD 47536 c,7.0,,2500.0,,,,,C,2007,2010-12-21,,,detected by radial velocity,,HD 47536,06:37:47.0,-32:20:23,5.25,,,,,121.36,-0.68,0.94,23.47,K1 III,9.33,4380.0
HD 48265 b,1.16,,700.0,1.51,0.18,,0.017277,R,2008,2009-05-20,309.0,4486.0,detected by radial velocity,,HD 48265,06:40:02.0,-48:32:31,8.07,,,,,87.4,0.17,0.93,,G5V,,
HD 49674 b,0.115,,4.9437,0.058,0.23,,0.001425,R,2002,2010-12-22,283.0,11882.9,detected by radial velocity,,HD 49674,06:51:30.0,+40:52:03,8.1,,,,,40.7,0.25,1.07,0.94,G5 V,2.38,5482.0
HD 50499 b,1.71,,2482.7,3.86,0.23,,0.081676,R,2005,2010-12-29,262.0,61234.6,detected by radial velocity,,HD 50499,06:52:02.0,-33:54:56,7.22,,,,,47.26,0.23,1.27,1.38,G IV,6.0,5902.0
HD 50554 b,5.16,,1293.0,2.41,0.5,,0.077667,R,2002,2010-12-30,355.7,2451832.4,detected by radial velocity,,HD 50554,06:54:42.0,+24:14:44,6.86,,,,,31.03,-0.07,1.04,1.11,F8,4.58,5902.0
HD 51608 b,0.0413,,14.07,0.1059,0.15,,0.003043,S,2011,2011-09-12,,,detected by radial velocity,,HD 51608,06:54:51.0,-55:15:34,8.17,,,,,34.8,,,,K0IV,,
HD 51608 c,0.0565,,95.415,0.3791,0.41,,0.010894,S,2011,2011-09-12,,,detected by radial velocity,,HD 51608,06:54:51.0,-55:15:34,8.17,,,,,34.8,,,,K0IV,,
HD 52265 b,1.05,,119.6,0.5,0.35,,0.017857,R,2000,2010-12-30,211.0,51422.3,detected by radial velocity,,HD 52265,07:00:18.0,-05:22:01,6.3,,,,,28.0,0.21,1.2,1.25,G0 V,4.88,6159.0
HD 5319 b,1.94,,675.0,1.75,0.12,,0.0175,C,2007,2007-10-31,76.0,13068.0,detected by radial velocity,,HD 5319,00:55:01.0,+00:47:22,8.05,,,,,100.0,0.15,1.56,3.26,G5IV,2.4,5052.0
HD 5891 b,7.6,,177.11,0.76,0.066,,0.003028,R,2011,2011-09-02,360.0,2455432.0,detected by radial velocity,,HD 5891,01:00:33.0,+20:17:33,8.25,,,,,251.0,-0.02,1.91,8.7,G5D,1.5,4907.0
HD 59686 b,5.25,,303.0,0.911,,,0.009902,S,2003,2011-01-03,,,detected by radial velocity,,HD 59686,07:31:48.0,+17:05:09,5.45,,,,,92.0,,,11.62,K2 III,,
HD 60532 b,3.15,,201.83,0.77,0.278,20.0,0.029961,R,2008,2012-01-31,352.83,54000.0,detected by radial velocity,,HD 60532,07:34:03.0,-22:17:46,4.45,,,,,25.7,-0.26,1.44,,F6IV-V,2.7,6095.0
HD 60532 c,7.46,,607.06,1.58,0.038,20.0,0.061479,R,2008,2012-01-31,119.49,54000.0,detected by radial velocity,,HD 60532,07:34:03.0,-22:17:46,4.45,,,,,25.7,-0.26,1.44,,F6IV-V,2.7,6095.0
HD 62509 b,2.9,,589.64,1.69,0.02,,0.163443,R,2006,2006-07-11,354.58,2447739.02,detected by radial velocity,,HD 62509,07:45:18.0,+28:01:34,1.15,,,,,10.34,0.19,1.47,9.3, K0IIIb,,4666.0
HD 63454 b,0.38,,2.818049,0.036,2e-05,,0.001006,R,2005,2011-06-01,87.3,2453342.87,detected by radial velocity,,HD 63454,07:39:21.0,-78:16:44,9.37,,,,,35.8,0.11,0.8,,K4 V,1.0,4841.0
HD 63765 b,0.64,,358.0,0.949,0.24,,0.02911,R,2009,2011-07-05,122.0,2454404.0,detected by radial velocity,,HD 63765,07:47:50.0,-54:15:51,8.1,,,,,32.6,-0.16,0.865,,G9V,4.77,5432.0
HD 6434 b,0.39,,21.998,0.14,0.17,,0.003472,R,2000,2010-12-30,156.0,51490.8,detected by radial velocity,,HD 6434,01:04:40.0,-39:29:17,7.72,,,,,40.32,-0.52,0.79,0.57,G3 IV,3.8,5835.0
HD 65216 b,1.21,,613.1,1.37,0.41,,0.039942,R,2003,2010-12-30,198.0,50762.0,detected by radial velocity,,HD 65216,07:53:41.0,-63:38:50,7.98,,,,,34.3,-0.12,0.92,,G5 V,,5666.0
HD 65216 c,2.24,,5542.0,,0.15,,,S,2011,2011-09-13,,,detected by radial velocity,,HD 65216,07:53:41.0,-63:38:50,7.98,,,,,34.3,-0.12,0.92,,G5 V,,5666.0
HD 66428 b,2.82,,1973.0,3.18,0.465,,0.057818,R,2006,2006-07-15,152.9,,detected by radial velocity,,HD 66428,08:03:28.0,-01:09:45,8.25,,,,,55.0,0.31,1.14552,,G5,5.56,5752.0
HD 6718 b,1.56,,2496.0,3.56,0.1,,0.063685,S,2009,2010-09-08,286.0,4357.0,detected by radial velocity,,HD 6718,01:07:49.0,-08:14:01,8.45,,,,,55.9,-0.06,0.96,1.02,G5V,,5745.0
HD 68988 b,1.9,,6.276,0.071,0.14,,0.001224,R,2001,2010-12-30,186.0,1913.0,detected by radial velocity,,HD 68988,08:18:22.0,+61:27:38,8.21,,,,,58.0,0.24,1.2,1.14,G0,6.78,5767.0
HD 69830 b,0.033,,8.667,0.0785,0.1,13.0,0.00623,R,2006,2012-01-31,340.0,2453496.8,detected by radial velocity,,HD 69830,08:18:23.0,-12:37:55,5.95,,,,,12.6,-0.05,0.86,0.895,K0V,7.0,5385.0
HD 69830 c,0.038,,31.56,0.186,0.13,13.0,0.014762,R,2006,2010-10-19,221.0,2453469.6,detected by radial velocity,,HD 69830,08:18:23.0,-12:37:55,5.95,,,,,12.6,-0.05,0.86,0.895,K0V,7.0,5385.0
HD 69830 d,0.058,,197.0,0.63,0.07,13.0,0.05,R,2006,2010-10-19,224.0,2453358.0,detected by radial velocity,,HD 69830,08:18:23.0,-12:37:55,5.95,,,,,12.6,-0.05,0.86,0.895,K0V,7.0,5385.0
HD 70573 b,6.1,,851.8,1.76,0.4,,0.038512,R,2007,2008-01-18,269.6,2106.54,detected by radial velocity,,HD 70573,08:22:50.0,+01:51:34,8.7,,,,,45.7,-0.18,1.0,,G1-1.5V,0.101,5737.0
HD 70642 b,2.0,,2231.0,3.3,0.1,,0.114583,R,2003,2011-01-01,277.0,2451749.0,detected by radial velocity,,HD 70642,08:21:28.0,-39:42:19,7.17,,,,,28.8,0.16,1.0,0.84,G5 IV-V,3.88,5670.0
HD 7199 b,0.29,,615.0,1.36,0.19,,0.037778,R,2011,2011-08-02,155.0,2455030.0,detected by radial velocity,,HD 7199,01:10:47.0,-66:11:17,8.06,,,,,36.0,0.28,0.89,0.96,KOIV/V,6.79,5386.0
HD 72659 b,3.15,,3658.0,4.74,0.22,,0.095181,R,2002,2010-12-20,-99.3,55351.0,detected by radial velocity,,HD 72659,08:34:03.0,-01:34:05,7.46,,,,,49.8,-0.02,0.95,1.36,G2 V,6.5,5926.0
HD 73256 b,1.87,,2.54858,0.037,0.029,,0.001014,R,2003,2010-12-23,337.3,52500.18,detected by radial velocity,,HD 73256,08:36:23.0,-30:02:15,8.08,,,,,36.5,0.29,1.05,0.89,G8/K0,0.83,5570.0
HD 73267 b,3.06,,1260.0,2.198,0.256,,0.040029,R,2008,2008-10-28,229.1,51821.7,detected by radial velocity,,HD 73267,08:36:18.0,-34:27:36,8.9,,,,,54.91,0.03,0.89,1.04,G5V,7.4,5317.0
HD 73526 b,2.9,,188.3,0.66,0.19,,0.006667,R,2002,2010-12-22,203.0,1212.1302,detected by radial velocity,,HD 73526,08:37:16.0,-41:19:08,9.0,,,,,99.0,0.25,1.08,1.49,G6 V,5.59,5590.0
HD 73526 c,2.5,,377.8,1.05,0.14,,0.010606,R,2006,2010-12-22,13.0,1212.1302,detected by radial velocity,,HD 73526,08:37:16.0,-41:19:08,9.0,,,,,99.0,0.25,1.08,1.49,G6 V,5.59,5590.0
HD 73534 b,1.15,,1800.0,3.15,0.046,,0.032478,R,2009,2009-08-13,59.0,2453120.0,detected by radial velocity,,HD 73534,08:39:16.0,+12:57:37,8.24,,,,,96.99,0.16,1.29,2.65,G5IV,,4952.0
HD 74156 b,1.88,,51.65,0.294,0.64,,0.004554,R,2003,2010-12-21,175.8,1980.8,detected by radial velocity,,HD 74156,08:42:25.0,+04:34:41,7.62,,,,,64.56,0.13,1.24,1.64,G1V,3.7,5960.0
HD 74156 c,8.03,,2476.0,3.4,0.43,,0.052664,R,2003,2010-12-21,261.3,952.2,detected by radial velocity,,HD 74156,08:42:25.0,+04:34:41,7.62,,,,,64.56,0.13,1.24,1.64,G1V,3.7,5960.0
HD 7449 b,1.11,,1275.0,2.3,0.82,,0.058974,R,2011,2011-08-02,-21.0,2455298.0,detected by radial velocity,,HD 7449,01:14:29.0,-05:02:51,7.5,,,,,39.0,-0.11,1.05,1.01,F8V,2.1,6024.0
HD 7449 c,2.0,,4046.0,4.96,0.53,,0.127179,R,2011,2011-08-02,11.0,2455883.0,detected by radial velocity,,HD 7449,01:14:29.0,-05:02:51,7.5,,,,,39.0,-0.11,1.05,1.01,F8V,2.1,6024.0
HD 75289 b,0.42,,3.5098,0.046,0.024,,0.001589,R,1999,2011-01-01,50.16,51355.91,detected by radial velocity,,HD 75289,08:47:40.0,-41:44:12,6.35,,,,,28.94,0.29,1.05,1.25,G0 V,4.96,6120.0
HD 75898 b,2.51,,418.2,1.19,0.1,,0.014768,C,2007,2009-10-06,263.7,12907.0,detected by radial velocity,,HD 75898,08:53:51.0,+33:03:25,8.04,,,,,80.58,0.27,1.28,1.6,G0,3.8,6021.0
HD 76700 b,0.197,,3.971,0.049,0.0,,0.000821,R,2002,2010-12-29,,,detected by radial velocity,,HD 76700,08:53:55.0,-66:48:03,8.13,,,,,59.7,0.14,1.0,1.33,G6 V,4.51,5726.0
HD 7924 b,0.029,,5.3978,0.057,0.17,,0.003393,R,2009,2009-01-29,25.0,4727.27,detected by radial velocity,,HD 7924,01:21:59.0,+76:42:37,7.185,,,,,16.8,-0.15,0.832,0.78,KOV,,5177.0
HD 79498 b,1.34,,1966.0,3.13,0.59,,0.063878,R,2012,2012-02-04,221.0,2453210.9,detected by radial velocity,,HD 79498,09:15:09.0,+23:22:32,8.03,,,,,49.0,0.24,1.06,,G5,2.7,5740.0
HD 80606 b,3.94,0.921,111.43637,0.449,0.93366,89.285,0.007688,R,2001,2012-01-26,300.651,2454424.857,detected by transit,K,HD 80606,09:22:37.0,+50:36:13,8.93,,,,,58.4,0.43,0.98,0.98,G5,7.63,5645.0
HD 81040 b,6.86,,1001.7,1.94,0.526,,0.059582,R,2005,2010-12-23,81.3,2452504.0,detected by radial velocity,,HD 81040,09:23:47.0,+20:21:52,7.72,,,,,32.56,-0.16,0.96,0.86,G2/G3,4.18,5700.0
HD 81688 b,2.7,,184.02,0.81,0.0,,0.009177,R,2008,2008-02-20,,2335.4,detected by radial velocity,,HD 81688,09:28:40.0,+45:36:05,5.41,,,,,88.26,-0.359,2.1,13.0,K0III-IV,,4753.0
HD 82886 b,1.3,,705.0,1.65,0.27,,0.0132,R,2011,2011-09-02,347.0,2455200.0,detected by radial velocity,,HD 82886,09:35:45.0,+34:46:51,7.78,,,,,125.0,-0.31,1.06,4.8,G0,7.0,5112.0
HD 82943 b,1.75,,441.2,1.19,0.219,,0.043336,R,2003,2010-12-23,284.0,,detected by radial velocity,,HD 82943,09:34:50.0,-12:07:46,6.54,,,,,27.46,0.32,1.18,1.12,G0,3.08,5874.0
HD 82943 c,2.01,,219.0,0.746,0.359,,0.027167,R,2003,2010-12-23,127.0,,detected by radial velocity,,HD 82943,09:34:50.0,-12:07:46,6.54,,,,,27.46,0.32,1.18,1.12,G0,3.08,5874.0
HD 83443 b,0.4,,2.985625,0.0406,0.008,,0.000932,R,2002,2006-11-25,24.0,11211.04,detected by radial velocity,,HD 83443,09:37:11.0,-43:16:19,8.23,,,,,43.54,0.35,0.9,1.04,K0 V,2.94,5460.0
HD 8535 b,0.68,,1313.0,2.45,0.15,,0.046667,S,2009,2010-09-08,61.0,4537.0,detected by radial velocity,,HD 8535,01:23:37.0,-41:16:11,7.7,,,,,52.5,0.02,1.13,1.19,G0V,,6136.0
HD 85390 b,0.132,,788.0,1.52,0.41,,0.044759,R,2009,2010-10-06,-94.0,,detected by radial velocity,,HD 85390,09:50:02.0,-49:47:25,8.54,,,,,33.96,-0.07,0.76,,K1V,7.2,5186.0
HD 85512 b,0.011,,58.43,0.26,0.11,,0.023318,R,2011,2011-09-02,178.0,2455239.70889,detected by radial velocity,,HD 85512,09:51:07.0,-43:30:10,7.67,,,,,11.15,-0.33,0.69,,K5V,5.61,4715.0
HD 8574 b,2.11,,227.55,0.77,0.288,,0.017421,R,2003,2009-10-08,3.6,2451467.5,detected by radial velocity,,HD 8574,01:25:12.0,+28:34:00,7.12,,,,,44.2,0.05,1.17,1.37,F8,7.13,6080.0
HD 86081 b,1.5,,2.1375,0.039,0.008,,0.000429,R,2006,2010-12-22,251.0,2453694.8,detected by radial velocity,,HD 86081,09:56:06.0,-03:48:30,8.73,,,,,91.0,0.257,1.21,1.22,F8V,6.21,6028.0
HD 86226 b,1.5,,1534.0,2.6,0.73,,0.061205,R,2010,2010-01-26,58.0,24552240.0,detected by radial velocity,,HD 86226,09:56:30.0,-24:05:58,7.93,,,,,42.48,-0.04,1.02,,G2V,,
HD 86264 b,7.0,,1475.0,2.86,0.7,,0.039394,R,2009,2009-08-13,306.0,15172.0,detected by radial velocity,,HD 86264,09:56:58.0,-15:53:42,7.42,,,,,72.6,0.202,1.42,1.88,F7V,2.24,6210.0
HD 8673 b,14.2,,1634.0,3.02,0.723,,0.078954,R,2010,2010-06-24,323.4,2454420.5,detected by radial velocity,,HD 8673,01:26:08.0,+34:34:46,7.57,,,,,38.25,0.0,1.312,1.54,F7 V,1.95,6413.0
HD 87883 b,12.1,,2754.0,3.6,0.53,8.5,0.198895,R,2009,2011-01-11,191.0,11139.0,detected by radial velocity,,HD 87883,10:08:43.0,+34:14:32,7.57,,,,,18.1,0.093,0.82,0.76,K0V,9.8,4980.0
HD 88133 b,0.22,,3.416,0.047,0.133,,0.000631,R,2004,2009-10-06,349.0,3016.31,detected by radial velocity,,HD 88133,10:10:07.0,+18:11:12,8.01,,,,,74.5,0.34,1.2,1.93,G5 IV,9.56,5494.0
HD 89307 b,2.0,,2199.0,3.34,0.25,,0.108091,R,2004,2012-05-25,14.0,2454549.0,detected by radial velocity,,HD 89307,10:18:21.0,+12:37:15,7.06,,,,,30.9,-0.14,1.028,1.05,G0V,6.76,5950.0
HD 89744 b,7.2,,256.0,0.88,0.7,54.0,0.022,R,2000,2010-12-08,195.0,,detected by radial velocity,,HD 89744,10:22:10.0,+41:13:46,5.74,,,,,40.0,0.18,1.4,2.14,F7 V,2.04,6196.0
HD 90156 b,0.057,,49.77,0.25,0.31,,0.006313,S,2009,2010-10-06,113.0,,detected by radial velocity,,HD 90156,10:23:55.0,-29:38:44,6.95,,,,,39.6,-0.24,0.84,,G5V,4.4,5599.0
HD 92788 b,3.86,,325.81,0.97,0.334,8.0,0.029555,R,2000,2010-10-19,276.4,759.2,detected by radial velocity,,HD 92788,10:42:48.0,-02:11:01,7.31,,,,,32.82,0.32,1.13,0.99,G5,3.78,5559.0
HD 93083 b,0.37,,143.58,0.477,0.14,,0.016505,R,2005,2010-12-31,333.5,53181.7,detected by radial velocity,,HD 93083,10:44:20.0,-33:34:37,8.3,,,,,28.9,0.15,0.7,,K3 V,6.0,4995.0
HD 93385 b,0.0263,,13.186,0.1116,0.15,,0.002645,S,2011,2011-09-12,,,detected by radial velocity,,HD 93385,10:46:15.0,-41:27:52,7.49,,,,,42.2,,,,G2V,,
HD 93385 c,0.0318,,46.025,0.257,0.24,,0.00609,S,2011,2011-09-12,,,detected by radial velocity,,HD 93385,10:46:15.0,-41:27:52,7.49,,,,,42.2,,,,G2V,,
HD 9446 b,0.7,,30.052,0.189,0.2,,0.003566,R,2010,2010-01-05,-145.0,2454854.4,detected by radial velocity,,HD 9446,01:33:20.0,+29:15:55,8.35,,,,,53.0,0.09,1.0,1.0,G5V,,5793.0
HD 9446 c,1.82,,192.9,0.654,0.06,,0.01234,R,2010,2010-01-05,-260.0,2454510.0,detected by radial velocity,,HD 9446,01:33:20.0,+29:15:55,8.35,,,,,53.0,0.09,1.0,1.0,G5V,,5793.0
HD 95089 b,1.2,,507.0,1.51,0.157,,0.010863,S,2010,2010-03-19,317.0,2454983.0,detected by radial velocity,,HD 95089,10:58:48.0,+01:43:45,7.92,,,,,139.0,0.05,1.58,4.9,K0 IV,2.5,5002.0
HD 9578 b,0.62,,494.0,,,,,S,2009,2010-12-06,,,detected by radial velocity,,HD 9578,01:33:17.0,-38:14:42,8.21,,,,,57.24,0.11,1.12,,G1V,,
HD 96063 b,0.9,,361.1,0.99,0.28,,0.006266,R,2011,2011-09-02,90.0,2455260.0,detected by radial velocity,,HD 96063,11:04:44.0,-02:30:48,8.37,,,,,158.0,-0.3,1.02,4.5,K0,9.0,5148.0
HD 96127 b,4.0,,647.3,1.4,0.3,,0.002593,S,2011,2011-10-11,162.0,43969.4,detected by radial velocity,,HD 96127,11:05:46.0,+44:18:06,7.43,,,,,540.0,-0.24,0.91,35.0,K2III,,4152.0
HD 96167 b,0.68,,498.9,1.3,0.71,,0.015476,R,2009,2009-04-21,285.0,2453057.0,detected by radial velocity,,HD 96167,11:05:15.0,-10:17:29,8.09,,,,,84.0,0.34,1.31,1.86,G5D,3.8,5770.0
HD 96700 b,0.0284,,8.1256,0.0774,0.1,,0.003023,S,2011,2011-09-12,,,detected by radial velocity,,HD 96700,11:07:54.0,-30:10:28,6.5,,,,,25.6,,,,G0V,,
HD 96700 c,0.04,,103.49,0.422,0.37,,0.016484,S,2011,2011-09-12,,,detected by radial velocity,,HD 96700,11:07:54.0,-30:10:28,6.5,,,,,25.6,,,,G0V,,
HD 97658 b,0.02,0.262,9.4957,0.0797,0.13,,0.003777,S,2010,2011-09-13,192.0,,detected by transit,,HD 97658,11:14:33.0,+25:42:37,6.27,,,,,21.1,-0.23,0.85,0.73,K1V,,5170.0
HD 98219 b,1.8,,436.9,1.23,0.21,,0.009179,R,2011,2011-09-02,47.0,2455140.0,detected by radial velocity,,HD 98219,11:17:48.0,-23:58:31,8.21,,,,,134.0,-0.02,1.3,4.5,K0III/IV,4.0,4992.0
HD 98649 b,7.0,,10400.0,,0.86,,,S,2011,2011-09-13,,,detected by radial velocity,,HD 98649,11:20:52.0,-23:13:02,8.03,,,,,40.3,,,,G4V,,
HD 99109 b,0.502,,439.3,1.105,0.09,,0.018264,R,2006,2006-07-15,256.0,11310.0,detected by radial velocity,,HD 99109,11:24:17.0,-01:31:44,9.1,,,,,60.5,0.315,0.93,,K0,12.2,5272.0
HD 99492 b,0.109,,17.0431,0.1232,0.254,,0.006844,R,2004,2006-07-15,219.0,10468.7,detected by radial velocity,,HD 99492,11:26:46.0,+03:00:22,7.38,,,,,18.0,0.36,0.83,0.96,K2V,4.0,4740.0
HD 99492 c,0.36,,4970.0,5.4,0.106,,0.3,R,2010,2010-11-19,38.0,9636.0,detected by radial velocity,,HD 99492,11:26:46.0,+03:00:22,7.38,,,,,18.0,0.36,0.83,0.96,K2V,4.0,4740.0
HD 99706 b,1.4,,868.0,2.14,0.365,,0.016589,R,2011,2011-09-02,359.0,2455219.0,detected by radial velocity,,HD 99706,11:28:30.0,+43:58:00,7.81,,,,,129.0,0.14,1.72,5.4,K0,2.1,4932.0
HIP 11952 b,2.93,,290.0,0.81,0.27,,0.007297,R,2012,2012-03-16,59.3,2455402.0,detected by radial velocity,,HIP 11952,02:34:11.0,-12:23:03,9.78,,,,,111.0,-1.9,0.83,1.6,F2V,12.8,6040.0
HIP 11952 c,0.78,,6.95,0.07,0.35,,0.000631,R,2012,2012-03-16,61.2,2455029.2,detected by radial velocity,,HIP 11952,02:34:11.0,-12:23:03,9.78,,,,,111.0,-1.9,0.83,1.6,F2V,12.8,6040.0
HIP 12961 b,0.35,,57.435,0.13,0.16,,0.005652,R,2009,2011-11-23,272.0,2454428.4,detected by radial velocity,,HIP 12961,02:46:43.0,-23:05:12,10.31,,,,,23.0,-0.07,0.67,,M0V,,
HIP 13044 b,1.25,,16.2,0.116,0.25,,0.000165,R,2010,2010-11-19,219.8,5109.78,detected by radial velocity,,HIP 13044,02:47:37.0,-36:06:27,9.94,,,,,701.0,-2.09,0.8,6.7,F2,9.0,6025.0
HIP 14810 b,3.88,,6.673855,0.0692,0.1427,,0.001308,R,2006,2009-06-03,159.32,3694.598,detected by radial velocity,,HIP 14810,03:11:14.0,+21:05:50,8.52,,,,,52.9,0.26,0.99,1.0,G5,,5485.0
HIP 14810 c,1.28,,147.73,0.545,0.164,,0.010302,S,2006,2009-06-03,329.0,4672.24,detected by radial velocity,,HIP 14810,03:11:14.0,+21:05:50,8.52,,,,,52.9,0.26,0.99,1.0,G5,,5485.0
HIP 14810 d,0.57,,962.0,1.89,0.173,,0.035728,R,2009,2009-06-03,286.0,4317.198,detected by radial velocity,,HIP 14810,03:11:14.0,+21:05:50,8.52,,,,,52.9,0.26,0.99,1.0,G5,,5485.0
HIP 5158 b,1.44,,345.63,0.89,0.54,,0.019778,S,2009,2011-05-06,70.0,54580.49,detected by radial velocity,,HIP 5158,01:06:02.0,-22:27:11,10.21,,,,,45.0,0.1,0.78,,K5V,6.0,4962.0
HIP 5158 c,15.04,,9018.0,7.7,0.14,,0.171111,R,2010,2011-05-06,142.0,,detected by radial velocity,,HIP 5158,01:06:02.0,-22:27:11,10.21,,,,,45.0,0.1,0.78,,K5V,6.0,4962.0
HIP 57050 b,0.298,,41.397,0.163506,0.314,,0.014864,R,2010,2010-04-27,238.1,,detected by radial velocity,,HIP 57050,11:41:45.0,+42:45:07,11.9,,,,,11.0,0.32,0.34,0.4,M4V,,3190.0
HIP 57274 b,0.036,,8.1352,0.07,0.187,,0.002701,S,2011,2011-09-15,81.0,2454801.015,detected by radial velocity,,HIP 57274,11:44:41.0,+30:57:33,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640.0
HIP 57274 c,0.41,,32.03,0.178,0.05,,0.006867,S,2011,2011-09-15,256.2,2455793.035,detected by radial velocity,,HIP 57274,11:44:41.0,+30:57:33,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640.0
HIP 57274 d,0.527,,431.7,1.01,0.27,,0.038966,S,2011,2011-09-15,187.2,,detected by radial velocity,,HIP 57274,11:44:41.0,+30:57:33,8.96,,,,,25.92,0.09,0.73,0.68,K5V,7.87,4640.0
HIP 70849 b,9.0,,10000.0,10.0,0.6,,0.416667,R,2009,2011-07-05,,,detected by radial velocity,,HIP 70849,14:29:19.0,-46:27:50,10.36,,,,,24.0,,0.63,,K7V,3.0,4105.0
HIP 75458 b,8.82,,510.702,1.275,0.713,69.9,0.040476,R,2002,2011-01-11,92.5,2015.36,detected by radial velocity,,HIP 75458,15:24:55.0,+58:57:57,3.31,,,,,31.5,0.15,1.4,12.8,K2 III,,4445.0
HIP 78530 b,23.04,,,710.0,,,4.530951,R,2011,2011-01-26,,,detected by imaging,,HIP 78530,16:01:55.0,-21:58:49,7.18,,,,,156.7,,2.5,,B9V,0.011,10500.0
HIP 79431 b,2.1,,111.7,0.36,0.29,,0.025,R,2010,2010-01-11,287.4,2454980.3,detected by radial velocity,,HIP 79431,16:12:42.0,-18:52:32,11.34,,,,,14.4,0.4,0.49,,M3V,,3191.0
HN Peg b,16.0,1.1,,795.0,,,43.206522,R,2007,2011-04-23,,,detected by imaging,,HN Peg,21:44:31.0,+14:46:19,6.0,,,,,18.4,,1.0,,G0V,0.2,
