1901	R And	M	5.8	0	15.2		V	53820.	409.2	38	S3,5e-S8,8e(M7e)
10687	W And	M	6.7	0	14.6		V	48654.	397.3	42	S6,1e-S9,2e
116287	Z And	ZAND	7.7	0	11.3		V				M2III+B1eq
114484	RT And	EA/RS	8.97	0	9.83	9.28	V	51421.737	0.6289216	17	F8V+K1
10192	RV And	SRA	9.0	0	11.5		V	48667.	168.9		M4e
114345	RZ And	CST	9.43	0			V				K0
114507	SS And	SRC	10.0	0	11.4		p		152.5		M6II
116681	ST And	SRA	7.7	0	11.8		V	53720.	326.6	52	C4,3e-C6,4e
363	SU And	LC	8.0	0	8.5		V				C6,4(C5II)
344	SV And	M	7.7	0	14.7		V	53220.	313.	42	M5e-M7e
1878	SW And	RRAB	9.14	0	10.09		V	53735.538	0.4422618	17	A7III-F8III
2546	TU And	M	7.5	0	13.5		V	53700.	316.8	48	M5e
113405	TV And	SRB	8.3	0	11.5		V		110.		M4e-M5e
262	TW And	EA	8.98	0	11.04	9.13	V	53693.355	4.122834	13	F0V+K0
114757	TY And	SRB	8.8	0	10.5		V		260.		M5e-M6e
117591	TZ And	LB:	8.0	0	9.3		V				M5-6III
12298	UY And	LB	7.4	0	12.3		V				C5,4(N3)
1593	VX And	SRA	7.5	0	9.7		V		375.		C4,5J(N7)
113715	VY And	SRB	9.6	0	11.8		V		149.		C3,5J-C4,4-5(R8)
117143	WW And	EA	10.92	1	0.67	0.16	V	34618.185	23.285213	05	A5+F3p
116883	WY And	SRD	8.65	0	9.65		V		109.65	43	G2e-K2(M3)
6029	XX And	RRAB	10.08	0	11.13		V	53662.575	0.722757	19	A8-F6
114012	AA And	EB	10.3	0	11.2	10.6	p	52500.730	0.9350969		B8V
114508	AB And	EW	9.49	0	10.46	10.32	V	52500.0599	0.3318912		G5+G5V
115046	AC And	*	10.70	1	1.2		V	28009.31	0.7112376		A9-F8
115065	AN And	EB	5.96	0	6.11	6.05	V	48500.732	3.21952		A7mIII-IV
2180	AQ And	SRB	7.7	0	9.5		V		169.		C5,4(Nb)
116958	AT And	RRAB	10.42	0	10.92		V	53287.4851	0.6169122	21	F0-F7
10027	BX And	EB	8.87	0	9.53	9.12	V	52500.3454	0.6101119		F2V
2962	BZ And	LB	7.7	0	8.6		V				K9
3432	CC And	DSCT	9.19	0	9.46		V		0.1249078	40	F3IV-V
63	CG And	ACV	6.32	0	6.42		V	41152.67	3.73975		B9pSiEu
8939	CI And	RRAB	11.76	0	12.66		V	51441.803	0.4847267	18	A8
3494	EG And	ZAND	6.97	0	7.8		V				M2IIIep
