1901  |010001 |R     And *|002402.0+383437 |M         |  5.8    |  15.2      |            |V |53820.      |     |   409.2            |38   |S3,5e-S8,8e(M7e) |HIP   00002|
10687 |010006 |W     And *|021733.0+441818 |M         |  6.7    |  14.6      |            |V |48654.      |     |   397.3            |42   |S6,1e-S9,2e      |HIP   00002|
116287|010009 |Z     And *|233340.0+484906 |ZAND      |  7.7    |  11.3      |            |V |            |     |                    |     |M2III+B1eq       |N0036 00002|
114484|010012 |RT    And *|231110.1+530133 |EA/RS     |  8.97   |   9.83     |   9.28     |V |51421.737   |     |     0.6289216      |17  *|F8V+K1           |00001 HIP  |
10192 |010014 |RV    And  |021102.6+485645 |SRA       |  9.0    |  11.5      |            |V |48667.      |     |   168.9            |     |M4e              |00001 00002|
114345|010018 |RZ    And  |230930.0+530240 |CST       |  9.43   |            |            |V |            |     |                    |     |K0               |00098 00002|
114507|010019 |SS    And *|231130.1+525313 |SRC       | 10.0    |  11.4      |            |p |            |     |   152.5            |     |M6II             |00098 00098|
116681|010020 |ST    And  |233845.1+354621 |SRA       |  7.7    |  11.8      |            |V |53720.      |     |   326.6            |52   |C4,3e-C6,4e      |00001 00002|
363   |010021 |SU    And *|000436.4+433305 |LC        |  8.0    |   8.5      |            |V |            |     |                    |     |C6,4(C5II)       |      HIP  |
344   |010022 |SV    And *|000420.1+400636 |M         |  7.7    |  14.7      |            |V |53220.      |     |   313.             |42   |M5e-M7e          |00001 00002|
1878  |010023 |SW    And *|002343.1+292404 |RRAB      |  9.14   |  10.09     |            |V |53735.538   |     |     0.4422618      |17   |A7III-F8III      |00001 HIP  |
2546  |010028 |TU    And  |003222.7+260146 |M         |  7.5    |  13.5      |            |V |53700.      |     |   316.8            |48   |M5e              |00001 00002|
113405|010029 |TV    And  |225803.0+424411 |SRB       |  8.3    |  11.5      |            |V |            |     |   110.             |     |M4e-M5e          |00001 00002|
262   |010030 |TW    And *|000318.2+325045 |EA        |  8.98   |  11.04     |   9.13     |V |53693.355   |     |     4.122834       |13   |F0V+K0           |00001 HIP  |
114757|010032 |TY    And  |231444.2+404739 |SRB       |  8.8    |  10.5      |            |V |            |     |   260.          :  |     |M5e-M6e          |00001 00002|
117591|010033 |TZ    And  |235051.8+473028 |LB:       |  8.0    |   9.3      |            |V |            |     |                    |     |M5-6III          |00001 HIP  |
12298 |010038 |UY    And  |023823.8+391010 |LB        |  7.4    |  12.3      |            |V |            |     |                    |     |C5,4(N3)         |00104 00002|
1593  |010042 |VX    And *|001954.0+444234 |SRA       |  7.5    |   9.7      |            |V |            |     |   375.             |     |C4,5J(N7)        |N0039 00002|
113715|010043 |VY    And  |230149.5+455309 |SRB       |  9.6    |  11.8      |            |V |            |     |   149.          :  |     |C3,5J-C4,4-5(R8) |00310 00002|
117143|010045 |WW    And *|234453.5+454112 |EA        | 10.92   |(  0.67    )|(  0.16    )|V |34618.185   |     |    23.285213       |05  *|A5+F3p           |N0040 HIP  |
116883|010047 |WY    And *|234129.7+473544 |SRD       |  8.65   |   9.65     |            |V |            |     |   109.65           |43   |G2e-K2(M3)       |N0042 DM   |
6029  |010049 |XX    And *|011727.4+385702 |RRAB      | 10.08   |  11.13     |            |V |53662.575   |     |     0.722757       |19   |A8-F6            |00001 00002|
114012|010055 |AA    And *|230522.8+474035 |EB        | 10.3    |  11.2      |  10.6      |p |52500.730   |     |     0.9350969      |     |B8V              |N0041 HIP  |
114508|010056 |AB    And *|231132.1+365335 |EW        |  9.49   |  10.46     |  10.32     |V |52500.0599  |     |     0.3318912      |     |G5+G5V           |N0041 00002|
115046|010057 |AC    And *|231802.4+484658 |*         | 10.70   |(  1.2     )|            |V |28009.31    |     |     0.7112376      |     |A9-F8            |N0043 HIP  |
115065|010067 |AN    And *|231823.3+414625 |EB        |  5.96   |   6.11     |   6.05     |V |48500.732   |     |     3.21952        |     |A7mIII-IV        |HIP   DM   |
2180  |010070 |AQ    And *|002731.7+353515 |SRB       |  7.7    |   9.5      |            |V |            |     |   169.             |     |C5,4(Nb)         |N0039 DM   |
116958|010073 |AT    And *|234230.8+430052 |RRAB      | 10.42   |  10.92     |            |V |53287.4851  |     |     0.6169122      |21   |F0-F7            |00001 HIP  |
10027 |010101 |BX    And *|020903.4+404739 |EB        |  8.87   |   9.53     |   9.12     |V |52500.3454  |     |     0.6101119      |     |F2V              |N0041 HIP  |
2962  |010103 |BZ    And  |003737.7+453615 |LB        |  7.7    |   8.6      |            |V |            |     |                    |     |K9               |00821 02377|
