1901  |R     And|M        |  5.8  |0| 15.2 |0|53820.    |   409.2        |38|S3,5e-S8,8e(M7e)
10687 |W     And|M        |  6.7  |0| 14.6 |0|48654.    |   397.3        |42|S6,1e-S9,2e     
116287|Z     And|ZAND     |  7.7  |0| 11.3 |0|          |                |  |M2III+B1eq      
116681|ST    And|SRA      |  7.7  |0| 11.8 |0|53720.    |   326.6        |52|C4,3e-C6,4e     
363   |SU    And|LC       |  8.0  |0|  8.5 |0|          |                |  |C6,4(C5II)      
344   |SV    And|M        |  7.7  |0| 14.7 |0|53220.    |   313.         |42|M5e-M7e         
2546  |TU    And|M        |  7.5  |0| 13.5 |0|53700.    |   316.8        |48|M5e             
117591|TZ    And|LB:      |  8.0  |0|  9.3 |0|          |                |  |M5-6III         
12298 |UY    And|LB       |  7.4  |0| 12.3 |0|          |                |  |C5,4(N3)        
1593  |VX    And|SRA      |  7.5  |0|  9.7 |0|          |   375.         |  |C4,5J(N7)       
115065|AN    And|EB       |  5.96 |0|  6.11|0|48500.732 |     3.21952    |  |A7mIII-IV       
2180  |AQ    And|SRB      |  7.7  |0|  9.5 |0|          |   169.         |  |C5,4(Nb)        
2962  |BZ    And|LB       |  7.7  |0|  8.6 |0|          |                |  |K9              
63    |CG    And|ACV      |  6.32 |0|  6.42|0|41152.67  |     3.73975    |  |B9pSiEu         
3494  |EG    And|ZAND     |  6.97 |0|  7.8 |0|          |                |  |M2IIIep         
115036|ET    And|ACV      |  6.48 |1|  0.03|0|          |     1.618875   |  |B9pSi           
2355  |GN    And|DSCTC    |  5.23 |1|  0.05|0|          |     0.069304115|  |A9IV            
3919  |GO    And|ACV      |  6.12 |1|  0.04|0|          |     2.5481     |  |A0pSrCrEu       
2243  |GR    And|ACV      |  6.87 |0|  6.95|0|          |   546.87       |  |A2pSrCrEu       
7651  |GY    And|ACV      |  6.27 |0|  6.44|0|          |  8000.         |  |B9VpCrEu        
6560  |HN    And|ACV      |  6.67 |0|  6.76|0|          |    69.92       |  |A2pSrCrEu       
7321  |KK    And|ACV      |  5.91 |1|  0.01|0|          |     0.6684     |  |B9IVpSi         
114154|KX    And|BE       |  6.88 |0|  7.28|0|          |                |  |B3pe+K1III      
114329|KY    And|BE       |  6.68 |0|  6.95|0|          |                |  |B3Vne           
114379|KZ    And|BY       |  7.91 |0|  8.03|0|          |     3.03       |  |K2Ve+K2Ve       
113802|LN    And|CST:     |  6.39 |0|      |0|          |                |  |B2V             
118214|LQ    And|BE       |  6.50 |0|  6.66|0|          |     0.309446   |  |B4Ven           
1799  |LR    And|ELL      |  7.10 |0|  7.15|0|44854.8800|     1.432321   |  |A3V             
7493  |OP    And|RS:      |  6.27 |0|  6.41|1|          |     2.35954    |  |K1III:          
7951  |OQ    And|LB       |  7.64 |0|  7.73|0|          |                |  |M3III           
115200|OT    And|EA       |  7.32 |0|  7.72|0|45711.73  |    20.85290    |03|                
117503|OU    And|FKCOM:   |  5.87 |0|  5.94|0|          |    24.2        |  |G1IIIe          
117963|PV    And|ACV      |  6.91 |0|  6.99|0|          |     3.5112     |  |B9pSi           
2865  |PY    And|ACV      |  6.02 |1|  0.03|3|          |     4.6904     |  |B8IIIpHgMn      
10944 |PZ    And|ACV      |  5.59 |1|  0.05|0|          |     4.1890     |  |B9VpSi          
5684  |QU    And|RS       |  7.25 |1|  0.05|0|          |    21.08       |  |G5IV            
5939  |QV    And|ACV      |  6.22 |1|  0.05|3|          |     5.229      |  |B9IIIpSi        
116354|V0340 And|DSCTC    |  5.69 |1|  0.03|2|          |     0.063      |  |A1Vp            
882   |V0343 And|LB       |  7.04 |0|  7.55|1|          |                |  |M2              
919   |V0344 And|BY       |  7.95 |1|  0.04|0|          |     6.105      |  |K0V             
988   |V0345 And|SRB:     |  7.79 |0|  7.98|1|          |    45.13       |  |M4              
1233  |V0348 And|EA       |  6.75 |0|  6.90|1|48504.070 |     5.5392     |  |B9              
2054  |V0350 And|EA       |  7.56 |0|  7.63|1|47947.413 |     1.538824   |10|A3              
3454  |V0355 And|EA       |  7.69 |0|  8.0 |0|52295.088 |     4.71841    |  |F5              
4129  |V0357 And|ELL:     |  6.70 |0|  6.74|1|          |     1.66238    |  |A2V             
5002  |V0360 And|LB       |  7.05 |0|  7.23|1|          |                |  |M3III           
5450  |V0361 And|DSCTC    |  7.79 |0|  7.83|1|48500.0220|     0.1140500  |  |F0              
7511  |V0365 And|DSCTC    |  7.49 |0|  7.53|1|          |     0.142816   |  |F0              
8034  |V0366 And|LC       |  6.74 |0|  6.93|1|          |                |  |M2Ib            
8618  |V0367 And|SRS:     |  7.11 |0|  7.45|1|          |    24.457      |  |M4              
9234  |V0370 And|SRB      |  6.18 |0|  7.19|1|          |   228.         |  |M7III           
9779  |V0373 And|DSCTC    |  7.63 |0|  7.69|1|          |     0.1128020  |  |F0              
11785 |V0375 And|SRB      |  7.01 |0|  7.22|1|          |    54.         |  |A0              
12039 |V0376 And|EB       |  7.68 |0|  8.00|1|52500.492 |     0.7986720  |  |A0              
12136 |V0377 And|EA       |  7.46 |0|  7.58|1|48700.254 |     4.06366    |05|B9              
113640|V0378 And|BE       |  6.47 |0|  6.64|0|          |                |  |B3Vpe           
114100|V0379 And|IA:      |  7.70 |0|  7.85|1|          |                |  |B3              
114106|V0380 And|LPB      |  7.97 |0|  8.02|1|          |     1.37678    |  |B9              
114305|V0381 And|EA       |  7.35 |0|  7.42|1|          |                |  |A0              
115530|V0385 And|LB       |  6.36 |0|  6.47|1|          |                |  |M0              
115643|V0387 And|LB       |  6.76 |0|  6.87|1|          |                |  |M0              
115755|V0388 And|ACV      |  5.73 |0|  5.77|1|          |     1.47931    |  |B9Mn            
116228|V0390 And|SRB      |  6.56 |0|  6.75|1|          |   303.         |  |M0              
116870|V0394 And|LPB      |  7.40 |0|  7.42|1|          |     1.7776     |  |B9              
117111|V0395 And|EW       |  7.55 |0|  7.62|1|48699.9945|     0.6847     |  |A0              
117647|V0396 And|DSCTC    |  7.92 |0|  7.95|1|          |     0.1047310  |  |F0              
117769|V0399 And|LB       |  6.95 |0|  7.05|1|          |                |  |M2III           
117844|V0413 And|EA/RS    |  7.61 |0|  8.46|3|48127.2   |    53.         |04|G0III           
2900  |V0428 And|SRS      |  5.13 |1|  0.06|0|          |    11.5        |  |K5-M0III        
10951 |V0436 And|ACV      |  7.23 |0|  7.29|1|          |    26.87       |  |B9pCrEuSi       
544   |V0439 And|BY       |  6.13 |1|  0.04|0|          |     6.23       |  |K0Ve            
4983  |V0442 And|BE       |  6.63 |0|  6.92|0|          |                |  |B2IVe           
5521  |V0443 And|BY       |  7.66 |1|  0.02|0|          |    20.27       |  |K0V             
5944  |V0445 And|BY       |  6.61 |1|  0.03|0|          |     5.67       |  |G0              
6680  |V0446 And|*        |  7.61 |1|  0.09|0|          |    64.23       |  |G4III           
10321 |V0450 And|BY       |  7.19 |1|  0.02|0|          |     7.6        |  |G0V             
10339 |V0451 And|BY       |  7.35 |1|  0.03|0|          |     7.52       |  |G0V             
115331|V0453 And|BY       |  7.36 |1|  0.04|0|          |     7.489      |  |K1V             
116613|V0454 And|BY       |  6.58 |1|  0.02|0|          |     7.5        |  |G3/4V           
1030  |V0470 And|LPB      |  6.66 |0|  6.70|1|          |     2.74725    |  |B2V             
6794  |V0529 And|GDOR+DSCT|  6.48 |0|  6.51|1|          |     0.40331    |  |A7Vm            
677   |alf   And|ACV:     |  2.06 |1|  0.04|0|          |     0.966222   |  |B8IVpHgMn       
3693  |zet   And|ELL/RS   |  3.92 |0|  4.14|0|32761.016 |    17.769586   |  |K1IIe           
116584|lam   And|RS       |  3.65 |0|  4.05|0|43832.8   |    53.95       |  |G8III-IV        
113726|omi   And|GCAS     |  3.55 |0|  3.78|0|          |                |  |B6IIIpe+A2p     
49784 |R     Ant|CST      |  7.65 |0|      |0|          |                |  |A0V             
46810 |S     Ant|EW       |  6.27 |0|  6.83|0|52627.7968|     0.6483489  |  |F3V             
47076 |RR    Ant|LB       |  8.0  |0|  8.8 |0|          |                |  |M6III           
49950 |AB    Ant|LB       |  6.6  |0|  7.1 |0|          |                |  |C6,3(N0)        
50456 |AG    Ant|*        |  5.29 |0|  5.83|0|          |   429.         |  |B9.5Ib-II       
46521 |AL    Ant|LB       |  7.40 |0|  7.78|0|          |                |  |M2/M3III        
49375 |AP    Ant|ACV      |  6.93 |0|  6.99|1|          |    18.201      |  |Ap(Eu-Cr)       
51175 |AV    Ant|SRB      |  7.5  |0|  8.3 |0|          |    84.         |  |M4III           
52567 |AZ    Ant|DSCTC    |  7.93 |0|  7.96|1|          |     0.1053030  |  |A5/7V           
48776 |BF    Ant|DSCTC    |  6.32 |1|  0.01|0|          |                |  |A4V             
73223 |R     Aps|CST:     |  5.35 |0|      |0|          |                |  |K4III-M0III     
85095 |DW    Aps|EA/SD:   |  7.9  |0|  9.1 |4|39209.502 |     2.312950   |14|B6III           
76011 |NN    Aps|ACV      |  6.86 |0|  6.92|0|          |                |  |                
85760 |NO    Aps|SR       |  5.71 |0|  5.95|0|          |                |  |                
69850 |NQ    Aps|SRB      |  7.22 |0|  7.35|1|          |                |  |                
69956 |NR    Aps|LB:      |  7.86 |0|  7.97|1|          |                |  |                
70547 |NS    Aps|LB       |  7.84 |0|  8.23|1|          |                |  |                
74673 |NZ    Aps|LB       |  7.94 |0|  8.08|1|          |                |  |                
74999 |OO    Aps|LB       |  6.58 |0|  6.68|1|          |                |  |                
81530 |OT    Aps|EA       |  7.98 |0|  8.34|1|          |                |  |                
83972 |OW    Aps|LPB      |  7.14 |0|  7.19|1|          |                |  |                
75994 |PS    Aps|EB       |  7.86 |0|  7.97|0|48574.241 |     1.086152   |  |F3V             
70248 |eps   Aps|GCAS:    |  4.99 |0|  5.04|1|          |                |  |                
68815 |tet   Aps|SRB      |  6.4  |0|  8.6 |4|          |   119.         |  |M7III           
117054|R     Aqr|M+ZAND   |  5.2  |0| 12.4 |0|54045.    |   390.         |41|M5e-M8.5e+pec   
102829|T     Aqr|M        |  7.0  |0| 14.2 |0|53229.    |   201.1        |47|M2e-M5.5e       
102546|V     Aqr|SRB      |  7.6  |0| 10.1 |0|          |   241.         |  |M6e             
110146|X     Aqr|M        |  7.2  |0| 15.0 |0|52951.    |   311.4        |42|S6,3e:(M4e-M6.5e
117703|Z     Aqr|SRA      |  7.4  |0| 10.2 |0|52945.    |   136.6        |50|M1e-M7III       
