Alta Pattern Set			15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	
																			
CCD:	E2V.1																		
System:	ALTA																		
Pattern	Vertical	MV1																	
Date:	8/2/2004	Time (uS)	.	.	.	.	.	.	SUB	P4A	P3A	P2A	P1A	P4	P3	P2	P1	Stop	Row
	Mask		0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
	Start	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
		0.64	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
		1.28	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3
		1.92	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	4
		2.56	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	5
		3.2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	6
		3.84	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	7
		4.48	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8
		5.12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9
		5.76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
		6.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
		7.04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	12
	END	7.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
