Alta Pattern Set			15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0	
																			
CCD:	CG77		#NAME?																
System:	Aspen		- step 0 must be final resting  state																
Pattern	FCG77S																		
Date:	9/18/2013	Time (nS)	Data Latch				Clamp	Convert	INT 2	INT 1	RESET 2	RESET 1	SW	S3	S2	S1	R	Stop	Row
	Mask		0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	
	BIN 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1
		10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
		20	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3
		30	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4
		40	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	5
		50	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6
		60	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7
		70	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	7
		80	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	10
		90	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	11
		100	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	10
		110	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	11
		120	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	12
		130	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	13
		140	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14
		150	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15
		160	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16
		170	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15
		180	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16
		190	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	17
	END	200	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	18
