# HIP PlxErr
1	0.0606
2	0.3193
3	0.0752
4	0.0361
5	0.0564
6	0.0474
7	0.0476
8	0.1066
9	0.0552
10	0.0358
11	0.0519
12	0.0411
13	0.0520
14	0.0545
15	0.0447
16	0.0271
17	0.0521
18	0.0613
19	0.0370
20	0.0582
21	0.0556
22	0.0337
23	0.0566
24	0.0453
25	0.77
26	0.0479
27	0.0542
28	0.0369
29	0.0307
30	0.0634
31	0.0653
32	0.0430
33	0.0902
34	0.1770
35	0.0471
36	0.0523
37	2.55
38	0.0249
39	0.0532
41	0.0557
42	0.3000
43	0.0285
44	0.0645
45	1.06
46	0.0468
47	0.0274
48	0.0376
49	0.0610
50	0.51
51	0.0529
52	0.0418
53	2.49
54	0.0501
55	0.69
56	0.0553
57	0.0299
58	0.0301
59	0.0386
60	0.0324
61	0.0387
62	0.0467
63	0.0768
64	0.0746
65	0.0209
66	0.0255
67	0.0581
68	0.1072
69	0.0612
70	0.0501
71	0.0624
72	0.0571
73	0.0277
74	0.0462
75	0.0308
76	0.0708
77	0.0747
78	0.0575
79	0.0500
80	0.0691
81	0.0808
82	0.0527
83	0.0402
84	0.0351
85	0.0828
86	0.0409
87	0.0790
88	0.0759
89	0.0333
90	0.0558
91	0.0761
92	0.0445
93	0.0752
94	0.0397
95	0.0570
96	0.4283
97	0.0447
98	0.0309
99	0.0773
100	0.1293
101	0.0614
102	0.0567
103	0.0341
104	0.0540
105	0.0412
106	0.0392
107	0.1000
108	0.0314
109	0.0524
110	0.89
111	0.0375
112	0.2832
113	0.0575
114	1.00
115	0.0310
116	0.0512
117	0.0264
118	0.0763
119	0.0390
120	0.0386
121	0.0403
122	0.18
123	0.0232
124	0.0836
125	0.0512
126	0.0620
127	0.3406
128	0.0296
129	0.0386
130	0.0455
131	0.0407
132	0.0384
133	0.0407
134	0.0749
135	0.0614
136	0.0470
137	0.0657
138	0.0554
139	0.0308
140	0.0248
141	0.0531
142	0.0368
143	0.2836
144	0.0275
145	0.2447
146	0.1393
147	0.0611
148	0.0714
149	0.0335
150	0.0589
151	0.2208
152	0.0577
153	0.0456
154	0.4358
155	0.0615
156	0.0369
157	0.0917
158	0.0471
159	0.0896
160	0.0843
161	0.0497
162	0.0379
163	0.0709
164	0.0344
165	0.0492
166	0.0299
167	0.0709
168	0.0779
169	1.76
170	0.2870
171	0.5621
172	0.0352
173	0.0581
174	0.0346
175	0.0446
176	0.0594
177	0.0590
178	1.42
179	0.0687
180	0.0526
181	0.0944
182	0.0380
183	0.2051
184	0.0552
185	0.2125
186	0.0853
187	0.0780
188	0.0538
189	0.0654
190	0.7505
191	0.0422
192	0.0593
193	0.0461
194	0.35
195	0.0482
196	0.0416
197	0.0430
198	0.0700
199	0.0908
200	0.0376
201	0.2211
202	0.0339
