   1  3152   190  3472   202  15 52  480  -25 50 00  15 55  492  -25 58 43   150   3   2   3   1
   2  3153     7  3476    20  16 57  180  -38 00 00  17 00  420  -38 04 24    60   3   2   2   1
   3  3161   -10  3484     2  17 06  540  -38 23 00  17 10  192  -38 26 43    12   2   3   3   0
   4  3161   -25  3484   -12  17 12  540  -39 14 00  17 16  211  -39 17 17     5   2   3   3   0
   5  3168   -20  3491    -7  17 13  120  -38 21 00  17 16  375  -38 24 16   100   3   2   2   9
   6  3174    -4  3497     8  17 08  180  -37 00 00  17 11  407  -37 03 37     4   3   2   3   0
   7  3178   210  3499   223  15 54  240  -22 40 00  15 57  215  -22 48 37   240   3   2   1   1
   8  3190    -9  3513     4  17 14  420  -35 56 00  17 18  031  -35 59 10   120   3   3   3   4
   9  3192   157  3513   170  16 15  060  -25 21 00  16 18  081  -25 28 17    80   3   2   2   1
  10  3203     6  3526    19  17 12  240  -33 59 00  17 15  417  -34 02 20    60   3   2   2   1
  11  3211    -7  3534     6  17 19  540  -34 07 00  17 23  122  -34 09 47    90   3   3   3   2
  12  3235   -15  3558    -2  17 29  240  -32 32 00  17 32  398  -32 34 06   120   1   2   2   9
  13  3237     0  3560    14  17 24  000  -31 29 00  17 27  140  -31 31 30    40   2   2   2   1
  14  3248     7  3571    21  17 23  540  -30 11 00  17 27  060  -30 13 30     2   3   1   2   0
  15  3262   -35  3586   -21  17 44  060  -31 14 00  17 47  200  -31 15 02    30   2   2   2   3
  16  3276   -20     0    -6  17 41  300  -29 16 00  17 44  410  -29 17 14    20   3   2   2   0
  17  3278   -15     1    -1  17 39  480  -28 49 00  17 42  582  -28 50 21    25   3   2   2   0
  18  3278   -22     1    -8  17 42  240  -29 13 00  17 45  348  -29 14 10     4   1   2   2   0
  19  3280   -22     3    -8  17 43  000  -29 05 00  17 46  106  -29 06 07    12   1   1   2   0
  20  3283   -19     7    -5  17 42  540  -28 38 00  17 46  040  -28 39 08    10   3   2   2   0
  21  3284   -25     7   -11  17 45  180  -28 52 00  17 48  283  -28 52 57     5   3   2   2   0
  22  3321   -12    44     2  17 48  540  -25 01 00  17 51  587  -25 01 42    60   3   2   2   5
  23  3322   282    43   296  16 08  000  -08 07 00  16 10  420  -08 14 45    50   3   2   1   0
  24  3330   294    51   308  16 05  420  -06 49 00  16 08  226  -06 56 54    30   2   1   2   0
  25  3338   -30    62   -15  17 59  180  -24 24 00  18 02  218  -24 23 56    90   3   3   3  14
  26  3341   -12    64     3  17 52  540  -23 19 00  17 55  563  -23 19 24    20   3   2   1   0
  27  3341   221    63   236  16 31  420  -10 22 00  16 34  270  -10 28 11   480   3   2   2   1
  28  3342   -20    66    -6  17 56  360  -23 35 00  17 59  387  -23 35 08    40   1   2   1   0
  29  3347   -38    71   -24  18 04  240  -24 01 00  18 07  273  -24 00 34    40   3   2   2   3
  30  3348   -19    72    -5  17 57  300  -23 01 00  18 00  320  -23 01 04    20   3   3   3   1
  31  3350   -39    73   -24  18 05  120  -23 49 00  18 08  150  -23 48 31     8   1   1   2   1
  32  3351   -37    74   -23  18 04  480  -23 40 00  18 07  508  -23 39 32     8   1   2   2   2
  33  3362   349    83   363  15 54  420  -01 20 00  15 57  170  -01 28 36    35   3   2   1   0
  34  3363   -16    87    -4  18 00  240  -21 40 00  18 03  241  -21 39 52    90   3   2   2   1
  35  3386   -31   110   -16  18 09  540  -20 17 00  18 12  522  -20 16 10    20   3   1   2   5
  36  3392   349   114   363  16 00  240  +00 40 00  16 02  570  +00 31 45    45   1   2   1   0
  37  3394   -32   117   -18  18 11  480  -19 42 00  18 14  455  -19 41 02    20   3   2   2   3
  38  3396    -7   119     8  18 02  540  -18 17 00  18 05  496  -18 16 41     3   3   2   1   0
  39  3402   -25   125   -11  18 10  540  -18 41 00  18 13  501  -18 40 06     3   3   1   2   0
  40  3404   -11   127     3  18 06  120  -17 46 00  18 09  070  -17 45 27    15   3   2   2   0
