 0:00:00 24:00:00 88:00 UMi
 8:00:00 14:30:00 86:30 UMi
21:00:00 23:00:00 86:10 UMi
18:00:00 21:00:00 86:00 UMi
 0:00:00  8:00:00 85:00 Cep
 9:10:00 10:40:00 82:00 Cam
 0:00:00  5:00:00 80:00 Cep
10:40:00 14:30:00 80:00 Cam
17:30:00 18:00:00 80:00 UMi
20:10:00 21:00:00 80:00 Dra
 0:00:00  3:30:30 77:00 Cep
11:30:00 13:35:00 77:00 Cam
16:32:00 17:30:00 75:00 UMi
20:10:00 20:40:00 75:00 Cep
 7:58:00  9:10:00 73:30 Cam
 9:10:00 11:20:00 73:30 Dra
13:00:00 16:32:00 70:00 UMi
 3:06:00  3:25:00 68:00 Cas
20:25:00 20:40:00 67:00 Dra
11:20:00 12:00:00 66:30 Dra
 0:00:00  0:20:00 66:00 Cep
14:00:00 15:40:00 66:00 UMi
23:35:00 24:00:00 66:00 Cep
12:00:00 13:30:00 64:00 Dra
13:30:00 14:25:00 63:00 Dra
23:10:00 23:35:00 63:00 Cep
 6:06:00  7:00:00 62:00 Cam
20:00:00 20:25:00 61:30 Dra
20:32:12 20:36:00 60:55 Cep
 7:00:00  7:58:00 60:00 Cam
 7:58:00  8:25:00 60:00 UMa
19:46:00 20:00:00 59:30 Dra
20:00:00 20:32:12 59:30 Cep
22:52:00 23:10:00 59:05 Cep
 0:00:00  2:26:00 58:30 Cas
19:25:00 19:46:00 58:00 Dra
 1:42:00  1:54:30 57:30 Cas
 2:26:00  3:06:00 57:00 Cas
 3:06:00  3:10:00 57:00 Cam
22:19:00 22:52:00 56:15 Cep
 5:00:00  6:06:00 56:00 Cam
14:02:00 14:25:00 55:30 UMa
14:25:00 19:25:00 55:30 Dra
 3:10:00  3:20:00 55:00 Cam
22:08:00 22:19:00 55:00 Cep
20:36:00 21:58:00 54:50 Cep
 0:00:00  1:42:00 54:00 Cas
 6:06:00  6:30:00 54:00 Lyn
12:05:00 13:30:00 53:00 UMa
15:15:00 15:45:00 53:00 Dra
21:58:00 22:08:00 52:45 Cep
 3:20:00  5:00:00 52:30 Cam
22:52:00 23:20:00 52:30 Cas
15:45:00 17:00:00 51:30 Dra
 2:02:30  2:31:00 50:30 Per
17:00:00 18:14:00 50:30 Dra
 0:00:00  1:22:00 50:00 Cas
 1:22:00  1:40:00 50:00 Per
 6:30:00  6:48:00 50:00 Lyn
23:20:00 24:00:00 50:00 Cas
13:30:00 14:02:00 48:30 UMa
 0:00:00  1:07:00 48:00 Cas
23:35:00 24:00:00 48:00 Cas
18:10:30 18:14:00 47:30 Her
18:14:00 19:05:00 47:30 Dra
19:05:00 19:10:00 47:30 Cyg
 1:40:00  2:02:30 47:00 Per
 8:25:00  9:10:00 47:00 UMa
 0:10:00  0:52:00 46:00 Cas
12:00:00 12:05:00 45:00 UMa
 6:48:00  7:22:00 44:30 Lyn
21:54:30 21:58:00 44:00 Cyg
21:52:30 21:54:30 43:45 Cyg
19:10:00 19:24:00 43:30 Cyg
 9:10:00 10:10:00 42:00 UMa
10:10:00 10:47:00 40:00 UMa
15:26:00 15:45:00 40:00 Boo
15:45:00 16:20:00 40:00 Her
 9:15:00  9:35:00 39:45 Lyn
 0:00:00  2:31:00 36:45 And
 2:31:00  2:34:00 36:45 Per
19:21:30 19:24:00 36:30 Lyr
 4:30:00  4:41:30 36:00 Per
21:44:00 21:52:30 36:00 Cyg
21:52:30 22:00:00 36:00 Lac
 6:32:00  7:22:00 35:30 Aur
 7:22:00  7:45:00 35:30 Lyn
 0:00:00  2:00:00 35:00 And
22:00:00 22:49:00 35:00 Lac
22:49:00 22:52:00 34:30 Lac
22:52:00 23:30:00 34:30 And
 2:34:00  2:43:00 34:00 Per
10:47:00 11:00:00 34:00 UMa
12:00:00 12:20:00 34:00 CVn
 7:45:00  9:15:00 33:30 Lyn
 9:15:00  9:53:00 33:30 LMi
 0:43:00  1:24:30 33:00 And
15:11:00 15:26:00 33:00 Boo
23:30:00 23:45:00 32:05 And
12:20:00 13:15:00 32:00 CVn
23:45:00 24:00:00 31:20 And
13:57:30 14:02:00 30:45 CVn
 2:25:00  2:43:00 30:40 Tri
 2:43:00  4:30:00 30:40 Per
 4:30:00  4:45:00 30:00 Aur
18:10:30 19:21:30 30:00 Lyr
11:00:00 12:00:00 29:00 UMa
19:40:00 20:55:00 29:00 Cyg
 4:45:00  5:53:00 28:30 Aur
 9:53:00 10:30:00 28:30 LMi
13:15:00 13:57:30 28:30 CVn
 0:00:00  0:04:00 28:00 And
 1:24:30  1:40:00 28:00 Tri
 5:53:00  6:32:00 28:00 Aur
 7:53:00  8:00:00 28:00 Gem
20:55:00 21:44:00 28:00 Cyg
19:15:30 19:40:00 27:30 Cyg
 1:55:00  2:25:00 27:15 Tri
16:10:00 16:20:00 27:00 CrB
15:05:00 15:11:00 26:00 Boo
15:11:00 16:10:00 26:00 CrB
18:22:00 18:52:00 26:00 Lyr
10:45:00 11:00:00 25:30 LMi
18:52:00 19:15:30 25:30 Lyr
 1:40:00  1:55:00 25:00 Tri
 0:43:00  0:51:00 23:45 Psc
10:30:00 10:45:00 23:30 LMi
21:15:00 21:25:00 23:30 Vul
 5:42:00  5:53:00 22:50 Tau
 0:04:00  0:08:30 22:00 And
15:55:00 16:02:00 22:00 Ser
 5:53:00  6:13:00 21:30 Gem
19:50:00 20:15:00 21:15 Vul
18:52:00 19:15:00 21:05 Vul
 0:08:30  0:51:00 21:00 And
20:15:00 20:34:00 20:30 Vul
 7:48:30  7:53:00 20:00 Gem
20:34:00 21:15:00 19:30 Vul
19:15:00 19:50:00 19:10 Vul
 3:17:00  3:22:00 19:00 Ari
18:52:00 19:00:00 18:30 Sge
 5:42:00  5:46:00 18:00 Ori
 6:13:00  6:18:30 17:30 Gem
19:00:00 19:50:00 16:10 Sge
 4:58:00  5:20:00 16:00 Tau
15:55:00 16:05:00 16:00 Her
19:50:00 20:15:00 15:45 Sge
